space_group,count
F m -3 m,493
P -4 3 n,456
F -4 3 m,493
I 2 3,169
I -4 3 d,486
I -4 3 m,482
F d -3 m Z,3209
P a -3,484
P 21 3,199
I a -3 d,847
F d -3 m S,455
P 41 3 2,220
P n -3 Z,110
F d -3 Z,189
P m -3 m,488
I m -3,686
P n -3 n Z,20
I m -3 m,541
P m -3,128
P -4 3 m,240
P m -3 n,496
F 2 3,40
F m -3 c,334
F d -3 c Z,69
I 21 3,102
P 43 3 2,161
F m -3,78
I a -3,438
P n -3 m Z,105
F -4 3 c,68
F 4 3 2,8
I 4 3 2,3
F 41 3 2,6
I 41 3 2,49
F d -3 S,8
P n -3 m S,33
P 2 3,25
P 42 3 2,8
P n -3 S,27
P 4 3 2,1
